,2022,2022,2021,2021,2020,2020,2019,2019
Month,Avg. Temps,Rain Total,Avg. Temps,Rain Total,Avg. Temps,Rain Total,Avg. Temps,Rain Total
Jan,68/48,0.08,68/46,2.99,67/46,0.15,66/48,4.03
Feb,71/46,0.34,68/47,0.04,69/45,0.51,60/43,6.59
Mar,71/48,1.2,66/45,1.46,65/48,3.95,67/49,1.48
Apr,73/51,0.32,71/51,0.11,70/52,5.31,71/53,0.14
May,72/54,0.2,71/56,0.11,76/56,0.45,68/54,0.94
Jun,74/56,0.23,77/59,0.23,77/59,0.18,74/59,0.51
Jul,80/63,0.27,82/64,0.42,81/60,0.14,81/63,0.26
Aug,86/64,0.06,83/62,0.45,85/64,0.38,83/61,0.17
Sep,n/a,n/a,81/60,0.3,86/60,0.33,82/60,0.33
Oct,n/a,n/a,76/54,1.15,77/53,0.05,80/53,0.3
Nov,n/a,n/a,75/52,0.17,72/48,0.6,73/49,2.57
Dec,n/a,n/a,62/45,5.69,69/46,0.9,64/48,4
